"Title",Genre
"Metal Gear Solid 4: Guns of the Patriots",General
"Metal Gear Solid 4: Guns of the Patriots",Modern
"NCAA Football 2004",Sports
"NCAA Football 2004",Traditional
"NCAA Football 2004",Football
"NCAA Football 2004",Sim
"God of War",Action Adventure
"God of War",Fantasy
"Star Wars: Knights of the Old Republic",Role-Playing
"Star Wars: Knights of the Old Republic",Third-Person
"Sid Meier's Civilization IV",Strategy
"Sid Meier's Civilization IV",Turn-Based
"Sid Meier's Civilization IV",Historic
"Sid Meier's Civilization IV",Historic
"Sid Meier's Civilization IV",4X
"Madden NFL 2004",Sports
"Madden NFL 2004",Traditional
"Madden NFL 2004",Football
"Madden NFL 2004",Sim
"Virtua Fighter 4",Action
"Virtua Fighter 4",Fighting
"Virtua Fighter 4",3D
"Super Mario 64",Action
"Super Mario 64",Platformer
"Super Mario 64",3D
"The Witcher 3: Wild Hunt",Action RPG
"The Witcher 3: Wild Hunt",Role-Playing
"The Witcher 3: Wild Hunt",Action RPG
"Burnout 3: Takedown",Driving
"Burnout 3: Takedown",Racing
"Burnout 3: Takedown",Arcade
"Super Smash Bros. Brawl",Action
"Super Smash Bros. Brawl",Fighting
"Super Smash Bros. Brawl",Fighting
"Super Smash Bros. Brawl",3D
"Super Smash Bros. Brawl",2D
"Super Smash Bros. Brawl",3D
"Company of Heroes",Strategy
"Company of Heroes",Real-Time
"Company of Heroes",Historic
"Company of Heroes",General
"Company of Heroes",Historic
"Gran Turismo 2",Driving
"Gran Turismo 2",Racing
"Gran Turismo 2",GT / Street
"Tom Clancy's Splinter Cell Pandora Tomorrow",Action Adventure
"Tom Clancy's Splinter Cell Pandora Tomorrow",Modern
"Grand Theft Auto: Chinatown Wars",Action Adventure
"Grand Theft Auto: Chinatown Wars",Modern
"Grand Theft Auto: Chinatown Wars",Modern
"Grand Theft Auto: Chinatown Wars",Open-World
"Pac-Man Championship Edition DX",Adventure
"Pac-Man Championship Edition DX",General
"Pac-Man Championship Edition DX",Action
"Pac-Man Championship Edition DX",General
"Pac-Man Championship Edition DX",General
"Pac-Man Championship Edition DX",Arcade
"Street Fighter Alpha 3",Action
"Street Fighter Alpha 3",Fighting
"Street Fighter Alpha 3",2D
"Tony Hawk's Pro Skater 3",Sports
"Tony Hawk's Pro Skater 3",Alternative
"Tony Hawk's Pro Skater 3",Skateboarding
"Divinity: Original Sin II",Action RPG
"Divinity: Original Sin II",Role-Playing
"Divinity: Original Sin II",Western-Style
"Unreal Tournament 2004",Action
"Unreal Tournament 2004",Shooter
"Unreal Tournament 2004",Shooter
"Unreal Tournament 2004",First-Person
"Unreal Tournament 2004",Sci-Fi
"Unreal Tournament 2004",Sci-Fi
"Unreal Tournament 2004",Arcade
"BioShock Infinite",Action
"BioShock Infinite",Shooter
"BioShock Infinite",Shooter
"BioShock Infinite",First-Person
"BioShock Infinite",Sci-Fi
"BioShock Infinite",Sci-Fi
"BioShock Infinite",Arcade
"Braid",Action
"Braid",Platformer
"Braid",Platformer
"Braid",2D
"Braid",2D
"God of War II",Action Adventure
"God of War II",Fantasy
"Super Mario 3D World",Platformer
"Super Mario 3D World",3D
"Super Mario 3D World",Action
"Super Mario 3D World",Platformer
"Super Mario 3D World",3D
"Starcraft II: Wings of Liberty",Strategy
"Starcraft II: Wings of Liberty",Real-Time
"Starcraft II: Wings of Liberty",Sci-Fi
"Starcraft II: Wings of Liberty",Command
"SSX",Sports
"SSX",Alternative
"SSX",Snowboarding
"Street Fighter IV",Action
"Street Fighter IV",Fighting
"Street Fighter IV",Fighting
"Street Fighter IV",3D
"Street Fighter IV",2D
"Street Fighter IV",3D
"Minecraft",Action Adventure
"Minecraft",Adventure
"Minecraft",3D
"Minecraft",Sandbox
"Minecraft",First-Person
"Minecraft",Fantasy
"Minecraft",Fantasy
"Persona 5",Role-Playing
"Persona 5",Japanese-Style
"Persona 4 Golden",Role-Playing
"Persona 4 Golden",Console-style RPG
"Persona 4 Golden",Console-style RPG
"Persona 4 Golden",Japanese-Style
"SSX 3",Sports
"SSX 3",Alternative
